observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
1,-1650,-1350,-4700,-5800,-5450,-5750,-5700,-2900,-4700,-5550,-4950,-5650,-5650,-5650,-5650,-5650,-5650,-5600,-5600,-5600,-5600,-5600,-5600,-4950,-4950
2,-1650,-1350,-4700,-5800,-5350,-5750,-5700,-2900,-4700,-5550,-5000,-5650,-5650,-5650,-5600,-5600,-5650,-5600,-5600,-5600,-5600,-5600,-5600,-4950,-5050
3,-1600,-3050,-4750,-5650,-5250,-5750,-5750,-2800,-4650,-5600,-5050,-5650,-5650,-5650,-5600,-5600,-5650,-5550,-5550,-5550,-5550,-5550,-5550,-5050,-5050
4,-1600,-3050,-4750,-5650,-5300,-5750,-5750,-2800,-4650,-5600,-5100,-5600,-5600,-5600,-5600,-5600,-5600,-5550,-5550,-5550,-5550,-5550,-5550,-5050,-4300
5,-5300,-3100,-5900,-5700,-5500,-5650,-5700,-2100,-4600,-5500,-5150,-5550,-5600,-5600,-5550,-5600,-5600,-5500,-5500,-5500,-5500,-5500,-5500,-5000,-4300
6,-5300,-3100,-5900,-5700,-5550,-5650,-5700,-2100,-4600,-5500,-5200,-5500,-5600,-5600,-5500,-5600,-5600,-5500,-5500,-5500,-5500,-5500,-5500,-5000,-4200
7,-5400,-3600,-5850,-5850,-4850,-5700,-5750,-2050,-4550,-5500,-4100,-5700,-5550,-5600,-5700,-5550,-5600,-2600,-2900,-4800,-4800,-4950,-4800,-4650,-4200
8,-5400,-3600,-5850,-5850,-4950,-5700,-5750,-2050,-4550,-5500,-4100,-5700,-5550,-5600,-5750,-5500,-5600,-2600,-2900,-4850,-4850,-5000,-4800,-4650,-4250
9,-5400,-3600,-2800,-5450,-5100,-5650,-5700,-2000,-4500,-5550,-4050,-5700,-5550,-5600,-5750,-5700,-5600,-2650,-3650,-4850,-4850,-4800,-4800,-4700,-4250
10,-5400,-3600,-2800,-5350,-5050,-5650,-5700,-2000,-4500,-5550,-4050,-5750,-5500,-5600,-5750,-5750,-5600,-2650,-3650,-4850,-4850,-4800,-4800,-4750,-5000
11,-5450,-3550,-2950,-5250,-5000,-5700,-5700,-1950,-4450,-4950,-4000,-5900,-5500,-5550,-5900,-5900,-5550,-2800,-3650,-4850,-4850,-4800,-4800,-4750,-5000
12,-5450,-3550,-2950,-5300,-4900,-5700,-5750,-1950,-4450,-5000,-4000,-5950,-5500,-5550,-5950,-5900,-5500,-2800,-3650,-4850,-4850,-4850,-4850,-4600,-4950
13,-5350,-3550,-2900,-5500,-5200,-5700,-5800,-1900,-4400,-5050,-4750,-5950,-5500,-5550,-5850,-5900,-5700,-2750,-3700,-4850,-4850,-5050,-4850,-4600,-4950
14,-5350,-3550,-2900,-5550,-5150,-5700,-5800,-1900,-4400,-5050,-4750,-5950,-5500,-5550,-5850,-5900,-5750,-2750,-3700,-4850,-4800,-5050,-4850,-4800,-4650
15,-5350,-3500,-2850,-4950,-5400,-5700,-5800,-1850,-4800,-5050,-4750,-5850,-5700,-5550,-5850,-5850,-5750,-2700,-4800,-5400,-4800,-5100,-4850,-4800,-4650
16,-5350,-3500,-2850,-5100,-5800,-5700,-5800,-1850,-4800,-5100,-4800,-5800,-5700,-5500,-5800,-5800,-5750,-2700,-4850,-5400,-5000,-5100,-4850,-4800,-4600
17,-5700,-3450,-3300,-5050,-5800,-5700,-5850,-2450,-4750,-5100,-4800,-6000,-5700,-5500,-6000,-5800,-5750,-4700,-4850,-5450,-5000,-5000,-5100,-4800,-4600
18,-5700,-3450,-3300,-5000,-5800,-5700,-5850,-2450,-4750,-5100,-4800,-6000,-5750,-5500,-6000,-5800,-5750,-4700,-5400,-5450,-4950,-5000,-5050,-4850,-4550
19,-5400,-2550,-3250,-4900,-5800,-5700,-5800,-2400,-5150,-5100,-4850,-5950,-5750,-5700,-8800,-5800,-5800,-4900,-5400,-5050,-4950,-5000,-5000,-4850,-4550
20,-5400,-2550,-3250,-5200,-5700,-5700,-5800,-2400,-5150,-5100,-4850,-5950,-5750,-5750,-8800,-5800,-5800,-4900,-5450,-5050,-4950,-5000,-4950,-4850,-4500
21,-5400,-2600,-3200,-5150,-5700,-5700,-6000,-2350,-5200,-5100,-4850,-5950,-5900,-5750,-8750,-8450,-5800,-4850,-5450,-5100,-4950,-4950,-4550,-4850,-4500
22,-5400,-2600,-3200,-5400,-5700,-5700,-6000,-2350,-5200,-5100,-3850,-5950,-5900,-5750,-8750,-8450,-5800,-4850,-5050,-5100,-5400,-4950,-4550,-4550,-4500
23,-5700,-2650,-3150,-5700,-5700,-5700,-5950,-2300,-5100,-5150,-3850,-5900,-5900,-5900,-8700,-8450,-5800,-4800,-5050,-5150,-5400,-4950,-4500,-4550,-4500
24,-5700,-2650,-3150,-5700,-5750,-5700,-5950,-2300,-5100,-5150,-3850,-5900,-5950,-5950,-8700,-8450,-5800,-4800,-5100,-5150,-5450,-4950,-4500,-4500,-4450
25,-5700,-2700,-3100,-5750,-5750,-5700,-5900,-2250,-5050,-5150,-3850,-5750,-5850,-5950,-8650,-8400,-5800,-4750,-5100,-5200,-5450,-4900,-4450,-4500,-4450
26,-5750,-2700,-3100,-5750,-5750,-5700,-5900,-2250,-5050,-5150,-4400,-5750,-5800,-5950,-8650,-8400,-8450,-4750,-5150,-5200,-5050,-4900,-4450,-4350,-4450
27,-5750,-2750,-3050,-5750,-5750,-5700,-6150,-2200,-5000,-5150,-4400,-3800,-5750,-5950,-8600,-8400,-8450,-5250,-5150,-5250,-5050,-4850,-5200,-4350,-4450
